text;catgy
MENTION ahora salio si reta wpp marca fav igual amo , willy vos tambien amo ahre;3
MENTION jajajajajajajajaa amarte no sueltes correa ignacho;1,3
MENTION cornuda relacion , voy willy;1,3
MENTION ahnooo no tenia asi , decepciono . haces bien irte guille entonce;1,3
MENTION hey muu buenas aqui willyrex comentando listo ( ?;3
MENTION no vengas ally grrr ! decime anda !;3
no solo personas ven afectadas aqui ecuador URL;4
MENTION porqueee !;1
MENTION refugio manta . pobres animalitos no culpa;3
MENTION deprimo pasando , ojala encuentren bien;3
MENTION igual . importante tener maleta lista si pasa nuevo no olvidar mascotas tambien .;3
MENTION mascotas principal situaciones;3
MENTION exacto preparadas mias;3
MENTION mal terremoto ecuador intranquilidad horrible;4
MENTION horrible;4
MENTION siii , sigo nerviosas espero alerta replica quede alerta no mas feo ! super intranquila;4
MENTION horrible milagro aqui sintio feo , habra sido esmeraldas;4
MENTION si quito luces prendian apagaban feo no imagino gente ahi !;4
acabo leer terremoto mundo bien;4
MENTION preocupadas;4
MENTION tranquila estara bien dios contigo josselin;4
MENTION siii esperemos cosas calmen;4
triste realidad HASHTAG URL;2
MENTION no , solo significa comunicaciones cambiaron . siglo pasado estan salida .;2
MENTION no . significa absurda ley comunicacion pais !;2
MENTION ejemplos mundo desarrollo adapta perfecto tecnologia;2
tras terremoto ecuador , entra erupcion volcan colima HASHTAG URL MENTION;2
MENTION santo universo preocupante;2
MENTION ! preocupante !;2
MENTION si q faltaba;2
MENTION deja 2 callados;2
"larga lista amigos "" gracias dios "" confirmaron estan sanos salvos terremoto ecuador URL";4
MENTION crees dios ? SMILEY;4
MENTION yep;1
MENTION entonces sarcasmo ? o_o;1
MENTION digo manera tonteria decir bien si colombia terremoto ecuador , entiendes ?;1
MENTION yaya si entiendo;1
acabo firmar decreto excepcion movilizacion nacional . pais emergencia . hoy mas unidos nunca . activado lineas ...;2,4
MENTION casos funcionaba dinero reserva rifaste NUMBER anos .;1
MENTION favor usa cerebro ! catastrofe natural no caben pendejadas dices !;1
MENTION NUMBERmil millones reserva usa , genio repatrio gasto constitucionalmente servian catastrofes;1
MENTION hablas culo t'es vraie faux cul;1
MENTION deja gluten lado .;1
preocupa similitud situacion actual marzo NUMBER : petroleo bajo , cero ahorros terremoto URL;2
MENTION lamentable salir comparaciones estupidas momentos;1
MENTION estupidos ciegos no quieren ver;1
MENTION dejar politizar , necesitamos unidad dios .;1
MENTION favor lee bien !;1
! calma ! temblor no tumbo trofeos MENTION URL;1
MENTION vitrina no llenan hinchas santa fe;1
MENTION si llena . URL;1
MENTION mano negra jajajaj bueno bien fenicito SMILEY;1
MENTION mano negra ? jajajajaja no , gacha nunca .;1
MENTION decia foto deja ser pendejo;1
MENTION . desgracias no chistes burlas . dios perdone tanta idiotez;1,4
MENTION burlando muerte alguien ? riendonos titulos vikonisjaj;1
MENTION . desgracia sufre pais hermano . no burlas .;1,4
MENTION riendo titulos vikonis no ninguna desgracia , no pendejo .;1
MENTION . mas pendejo ud . madure imbecil;1
MENTION domir .;1
... portoviejo , aunque seguimos recibiendo informacion . infinito amor familias fallecidos .;2,4
MENTION amor , plata medidas contingencia atencion damnificados no . HASHTAG .;1
MENTION NUMBER millones anunciados .;2
MENTION sueldos asambleistas , asesores , proxima farra cancelada ... mmm no , creo no alcanza .;1
MENTION no dicho sera unico , sino movera momento . imagino tampoco escuchaste .;1,2
MENTION tambien dijeron vencerian pobreza , gobierno manos limpias , asi ... vere , vere acertare .;1
MENTION unico veras mantiene obsesionado , lastimosamente . suerte importa mas .;1
MENTION hijo puta estamos.viviendo momentos fuertes deja trabajar si hace sigue adelante rafael;1
MENTION estaras trabajando ahora ? si asi felicidades , ahinco companerito .;1
MENTION incompetencia ? peculado ? corrupcion ? mentiras ? si oye , no sabes quitan sueno .;1
MENTION lamento , corazon .;1
MENTION no preguntas ahora servian fonditos feriaste ? HASHTAG;1
MENTION supone activaron fondos contingencia , revisarlos . enfocarse hoy;2
MENTION ? si farrearon ! excepcion significa tomaran dinero;2
MENTION trabaja ? paseandose ? debe aqui destinando fondos ayuda no;1
MENTION rafa quedate alla nomas , terremoto suficiente , pordiosito lindo quedate allay no vengas figuretiar ak;1
MENTION sera posible q momentos terribles pais , dejaran lado odios resentimientos;1
MENTION troll asqueroso sal redes anda ayudar donar . no mas;1
MENTION resentimientos ? mientras presidente come ostias vaticano aca embalamos cajas;1
MENTION andate cazar vrg maricon hdp , quieres hacer puntos atorrante amo , maricn sucio .. !;1
MENTION sal ayudar hecho dia . trolls opo quedaron mal hicieron ayer hoy;1
MENTION da cara sinverguenza;1
MENTION chucha haces trol center ? puta sabes q hago no hago , maricon sucio ?;1
MENTION andate mmrcla atorrante presi , puta q moustro q foto ? igual vale;1
MENTION deje hacer sabatinas asi miles dolares ahorra puedan servir ayudar;1
gente guayaquil , manana saldremos HASHTAG llevando ayuda . si pueden apoyar donaciones aca info : URL;2
MENTION contacto bomberos ( esposo yendo alla ) no problema cascol x va ahora;2
MENTION salimos NUMBERpm ! bomberos estan manta madrugada;2
MENTION ningun problema . no segura capacidad dos autos podemos intentar salimos via costa;2
MENTION nena si capacidad poder ayudar familia bahia;2
alerta volcan villarica chile entra erupcion luego sismo ecuador . atentos URL;2
MENTION lindo ve , no gustaria pucon momentos ...;2
MENTION . contrario , calme .;2
MENTION chile preciados . sigue viviendo construyendo faldas volcan ...;2
MENTION deberia prohibido . especial si mantiene actividad;2
MENTION nah , creo sacrificio soluciona , debemos tirar presidenta crater SMILEY;1
google habilita buscador personas HASHTAG > URL ... URL;2
MENTION u . u t . t . t no creo q vaya poder dormir bien hoy despues noticias tan horribles SMILEY;4
MENTION si entiendo   esperamos no vuelva mas fuerte no incrementen victimas t . t , susto creo no dormire;4
MENTION mismo digo . tampoco creo q pueda dormir;4
MENTION no puedo dejar ver twits noticias mundo . feo .;2
MENTION si , solo toca mantener calma alerta ...;4
MENTION SMILEY si u . u;4
MENTION cierto , ojala pase dejen pasar cosas malas :'(;4
MENTION asi :/ preocupa . voy tratar dormir . q madrugar . aunq va costar dormir hoy .;4
"? ven ? pendejos simios ecuatorianos , si puesto : "" amen "" fb terremoto no llegado .";1
MENTION puedes burlar pedaso ignorante;1
MENTION cuenta deberia reportada mente retorcida humana !;1
MENTION s cerrarle cuenta ! reporto masivo .;1
MENTION terremoto no acabo ustedes ? :'( solo roban oxigeno , ninos down;1
mantener calma pide sinverguenza , si problema actitud ecuatorianos no terremoto URL;3
MENTION . _ . tonto pasa ? no cae bien correa , mas obvio hace despues terremoto;1,3
MENTION importa bien si cae no bien correa salame .;1
MENTION idiota ? obvio primero debe hacer tener jodida calma ... lerdos no entienden .;1,3
MENTION ve calmada . tirate insulto asi lames bien medias comandante .;1
MENTION favor no ridiculo .. aparte no voy exaltar semejante idiotez;1
MENTION voy eSMILEYlicar , no hablo monitos . comprate helado pegas frente .;1
MENTION . _ . si no mono tonto ? solo apodo idiota ..;1
jajajajajajaja hermanito bobito MENTION preocupado trofeos hermano . URL;1
MENTION no amigo preocupado ecuador uruguay muere gente cambio climatico ud preocupa futbol;2
MENTION no parece ! aqui ud manda saludo acompanado insulto devuelvo : sapo hijo puta ! URL;1
MENTION buscar importancia atencion propio persona auto estima lamentable tipo . pobrecito .;1
MENTION hola mapache bebe saludos mapache bebe;1
MENTION cierto agradezco mapache , bebe puedes dejarlo novio hermano , padre .;1
espero ecuador esteis bien [ ? ];4
MENTION creo terremoto creo;3
MENTION terremoto muertos danos materiales;2
MENTION joder , pobre gente serio;4
MENTION si terremoto NUMBER : c;3
MENTION ? posta ? bueno , muchas fuerzas gente ecuador !;4
MENTION terremoto SMILEY;3
MENTION ecuador aun nerviosa solo debo rezar mantener calma;4
MENTION si sintio horrible ay muertos : c;4
MENTION tranqui , animos SMILEY;4
MENTION uh . si vi ht . muchas fuerzas !;4
MENTION si , mejor , momento;3
MENTION bien muchas gracias apoyo;3,4
MENTION;3
MENTION cuidense;3
MENTION tambien ecuador siento mismo d=;4
terremoto ecuador ? recien entero !;2
MENTION momento s3 contabilizan mas NUMBER muertos;2
MENTION asi , fuerte tal machala ?;2
MENTION susto leves danos mas duro cerca NUMBER segundos;3
MENTION bueno pana ciudad no pasado . terremoto NUMBER segundos despedaza cualquier pais .;3
temblor mas fuerte largo toda vida ! susto no pasa;4
MENTION no si vivo ecuador;3
MENTION bien solo quedo susto lugares pais acabo;2,3
MENTION miedo bueno alegro estes bien ! orar afectados darle gracias no [ ? ];3,4
MENTION bien !;3
alguien mas vio ? terremoto NUMBER . ecuador NUMBER / bajas dios misericordia URL;2,4
MENTION dicen q proyecto usa originar prueba q luz salido paises justo terremoto;3
MENTION verdad no hace rato pregunte nadie da razon porq paises ah visto lo.mismo la.luz;3
MENTION no unico q ! si sabes q fa vor dimelo solo teoria ! mas q;3
MENTION ok ! aqui segun URL no creo;3
MENTION raro rayos ? dame detalles x favor ?;3
MENTION hace llamar luces terremotos pasaron dato;3
MENTION guayaquil aqui ciudad vio;3
MENTION ah sta elena libertad aki no vio solo sintio horrible;3
MENTION hola si colombian ah visto mismo dice q llama luces terremotos fenomeno q pasa leelo ! interesante;3
MENTION seguro q asi llaman xq viendo videos no parecen;3
MENTION luces terremotos asi;3
MENTION digo q respuesta;3
MENTION luces terremoto solo fenomeno naturaleza;2
MENTION aun parecio mas proyectil cometa bueno ver mas videos;3
MENTION yes gracias dato fcb ai video creo q ai q grabaron . vi ai descargue subi aqui;3
MENTION pues ver noticias;3
MENTION saludos solidarios gente ecuador , mas informacion puedes investigar proyecto haarp;3,4
MENTION mas geoterrorismo URL si prohiben x q usan ls elites q mueven ls hilos dl mundo;3
gracias dios proteger familia amigos ! pense casa iba caer , peor HASHTAG vida .;4
MENTION no temblor china boba .;1
MENTION ser justos temblor terremoto SMILEY;2
MENTION bueno , asusto terremoto no temblor x'ddd .;2
MENTION no podia poner : peor terremoto ... porq nunca habia vivido terremoto comparar .;2
MENTION jajaja mierda , no quiero vivir .;1
MENTION bueno estes bien familia tambien chinita !;4
MENTION bien tranquilos , ningun inconveniente .;3
MENTION bien mezzi .. esperemos no replicas fuertes;3
MENTION bueno chinita bella , cuidate muchisimo !;3
MENTION tb mezzy ! bendicionees !;3
santiago esperan lluvias si mesias , igual queda caga ! HASHTAG URL;2
MENTION super simple stgo pavimentado asfaltado construido casi NUMBER % podria filtrar agua napas ?;2
MENTION infraestructura adecuada , colectores , ademas deben crear identificar zonas alivio;2
MENTION zonas alivio rios vienen desbordados . si no baja agua napas hacer;2
MENTION pueden construir tambien . santiago lleva mas NUMBER % inversion publica ...;2
MENTION debe ser stgo casi NUMBER % poblacion pais;2
MENTION exacto ! , no sido bien dirigida , llueve queda caga;1
MENTION caso queda caga pk yeta aca , mandamos valdivia capaz repita terremoto NUMBER o2;1,2
MENTION nooo gracias ! juajajajajajaja;1
no mames vino energia todavia sigo asustado terremoto HASHTAG NUMBERm views of boombox;1
MENTION si ahr HASHTAG NUMBERm views of boombox;1
MENTION parte . espero bn .;4
MENTION guayas , si bien solo traumada cogio terremoto cine HASHTAG NUMBERm views of boombox;2,3,4
MENTION no , gracias dios , solo cayeron parlantes gente tropezaba escaleras;3,4
MENTION;3
terremoto tambien ecuador ! gente , tierra cansando .;2
MENTION estupidez acabas decir , igual habrian temblores si no existieramos;1
MENTION no barrabasada intelectual digiste debe ser calificada tal;1
MENTION no , solo queria llamar atencion;3
"MENTION vale "" epale , "" gusto contesto";3
momento veo noticias hago repaso mental chicas MENTION conozco ecuador .;1,2
MENTION terremoto casas tiradas & stuff si conoces svilesan , hablaba hace anos .;3
MENTION * anota svilesan ecuador * usen twitter justo .;3
MENTION si , hace siglos no usa , mande mensaje instagram , checa mas seguido .;3
MENTION no creo conozcas soralovegood eldrin habias dejado pf llegaron . viejos no recuerdo nadie mas ahi;3
MENTION sobrevivi;3
MENTION ano despues hable luego instagram jaja : 3 ( > n_n ) >;3
MENTION siento . pasaron muchas cosas vida mejor si;3
siglo xxi . NUMBER horas despues terremoto informacion detalle manabi esmeraldas llega solo via ciudadanos redes .;2
MENTION peor pasado . terremoto nacional gobierno no permitan informacion . todas familias desesperadas .;4
"MENTION mentira , gob no prohibe , no dejes llevar fanatismo "" anti "" .";1,2
MENTION deberias leer ley comunicacion . unico fanatico .;1
MENTION falso leer ley excepcion dejar usar politicamente tragedia .;1,2
MENTION esperar NUMBER horas ser informados . recien NUMBERh 00 . democracia ?;2
MENTION bahia mama isabella no sabe aun;3
MENTION estan bien . quedaron refugio canoa;3
critican articulo , menos leyeron ? pesimo headline btw - terremoto cuarteo comunicacion correista URL;1
MENTION verdad articulo cronica paso , cero informacion oficial primera hora despues suceso .;2
MENTION intencion d senalar errores cometidos administracion . problema q ahora nadie animo reflexivo;4
MENTION pasa mismo lado , presidente canal publico mientras resaltan excelente apoyo coe blah;1
"MENTION "" tambien hacen "" bien argumento correas ah . preguntame si lasso activo coe NUMBER .";1
MENTION viendo tweet pelagatos , no sigo visto tweets correas equivalentes , sino diria mismo .;1
MENTION repito MENTION casas , familia mejor;2,4
MENTION preguntales MENTION;2
MENTION competencia municipal , entrar polemica politica .;2
MENTION mayoria iglesias antiguas , no consideraria lugar seguro . deben ser lugares abiertos .;2
MENTION pocos , quito NUMBER .;3
MENTION trabajamos normalizar . agradecemos comprension eventualidad .;2
MENTION trabajamos normalizar . agradecemos comprension eventualidad .;2
MENTION encontramos trabajando restablecer servicio energia electrica gracias comprension;2
terremoto siiiento;1
MENTION no ahora porfavor;1
MENTION vamo calmarno;1
MENTION vamo rezar;1
MENTION vamo juntar agua;1
MENTION vamo cambiarno pais;1
MENTION vamo rezarle felipito;1
MENTION jajjajajajajaj ctm;1
pena tener evacuar camiseta cuello jetiado medias rotas .;1
MENTION medio empelotada jajajajajajajajajajajaja;1
MENTION jajajajajajajaja uy rico evacuacion terremoto julieth .;1
MENTION jajajajajajajajaja no , duermo pijamita cubre cuello piecitos .;1
MENTION jajajajajaja calor tan canalla hace neiva ?;1
MENTION jajajajajajajajajajajajajajajajajaja moriria , obvio no .;1
MENTION jajajajajaja , ah bueno , solo hoy aquellos replicas evacuacion ( ? );1
MENTION jajajajajajajajajajaja aunque aqui no creo , si si moscas ... jajajaja;1
igual bajo poquito intensidad lluvia , ventana no suena si terremoto . desperto;1
MENTION siempre;3
MENTION pucha no puedo comparar , si m parece fuerte ahora;3
MENTION uff lata , igual ahora disfrutarla;1
MENTION tendria despertar caiga techo encima nunca doy cuenta berracos;1
MENTION doy cuenta dia , noche idea .;1
MENTION nunca temblor;3
MENTION si , hecho pongo preaviso dias .;1
MENTION dio sida redaccion , entendiste;1
MENTION jajajaajajaajajajaajajajaajaaja ok nunca no ganas sentirlo , verdad .;1
MENTION no . no . no .;3
MENTION entonces deja hablar temblores . climatologo ( ? );1
MENTION si . hace unas horas .;3
MENTION menos mal no senti hp . susto .;1
MENTION sintio cali , consecuencia terremoto ecuador .;3
MENTION ah jueputaa !;1
""" mejor preparados clase desgracias , hoy NUMBER hospitales moviles , solo habia NUMBER "" , MENTION";2
MENTION manden hospitales callen cretino , NUMBER hermanos muertos NUMBER heridos HASHTAG;1,2
MENTION ponte trabajar quedate bien lejos .;1
supongo q atacar presidente limpiarte dolor ajeno trabajo . q nivell ! MENTION;1
"MENTION "" NUMBER hospitales "" abra ojos , callado veria mejor , adios";1
MENTION solo tarado pendejo puede dar declaracion asi imbeciles;1
MENTION calla mejor ! torpe;1
MENTION calla inepto . realidad dice presi hoy servicios mejores solventar desgracia;1
"MENTION adios dije , ud parece inteligente . "" ahora NUMBER , """;1
MENTION sienten orgullosos ? dinero q gob tener NUMBER mas insulto ! trabajen;1
MENTION sabes hora pedernales casi NUMBER horas despues , inepto presidente ladron;1
ningun NUMBER horas . llegaron mas rapido posible tomando cuenta q varias vias estan inutilizadas . imbecil ! MENTION;1,2
MENTION diselo victimas siguen escombros . imbecil tarado presidente;1
MENTION mejor diselo politicos candidatos q hoy asoman reflejan imbeciles vos;1
MENTION sabes imbesil cuanto cuesta hospital movil , hospital , no basura q quito;1
MENTION tarado say;1
MENTION no respondas pregunta no idiota chavo ensenaron idiota;1
MENTION responde troll ...;1
MENTION no tiempo , ademas no existes nena haz amenazar asi mejor chao idota donara alguito;1
MENTION NUMBER horas si no rescatistas internaciones seria peor . correa tarado;1,2
corazon gente querida ecuador ! URL;4
MENTION;4
MENTION terremoto NUMBER destrozado . puente guayaquil URL;2
MENTION vale si bien , asustada;3
MENTION dios;4
MENTION si imagino horrible debe ser , mando muchas fuerzas;3
MENTION muchas gracias vale , feo , asustada;3
MENTION igual sorprendida !;4
MENTION triste espero recuperen;4
dios cuide ecuador buen viaje MENTION pueblo espera URL;4
MENTION gracias companero . vivimos momentos dificiles ecuador .;2
MENTION ojos corazon puesto ustedes hermanos listos trabajar colaborar va saliendo delegacion;2
MENTION gracias hermanos . hoy toca pasar momentos graves . saldremos adelante ayuda dios , virgen latinoamerica;2,4
MENTION asi camarada oraciones ayude salir pase ustedes duele;4
MENTION duele hermanos alma , corazon lucha dios bendiga hoy siempre;4
"si ppk gana no va poder gobernar "" venia "" parlamentaria keiko fujimori . si gana keiko existe riesgo "" dictadura legal """;2
MENTION pueblo eligio no dictadura llama democracia decision soberano;2
MENTION dictadura no mayoria dictadura aproveche misma;2
MENTION nadie necesitas . no teorico ejemplo real papa;1,2
MENTION , actuas igual padre , no creo , asi no vivido vida igual padre;1
MENTION mas siquiera puedo afirmar exista igualdad vidas varios hermanos;1
MENTION sospechas validas;1
MENTION si actuo igual padre persona admirable digna imitar;1
redes agitan extrana luz cielo terremoto ecuador . > URL;2
MENTION video viernes , luces producto choque minerales placas , pasa - NUMBER % URL;2
MENTION si vi , mencione xq vi q subiste man jaja , disque gente si vieron huevadas;1
MENTION asi dicen q montanita olon etc gente vio luces verdes caer agua;2
MENTION lampara;1
temblor NUMBER , 8 no suficiente , ahora vienen traumar luces ! URL;2
MENTION si vi gloria no asi ve ahi azules verdes tipo aurora boreal;2
MENTION si entonces ? URL;2
MENTION exacto tal describen ahi pensaba bombardeando jaja hermano tb vio;1,2
MENTION tambien vi , mas NUMBER veces pense iba llover . jajaja;1,2
MENTION si lampara no entendia pasaba verdad veia bonito ajaja;1
foto HASHTAG chile , hoy justo entro erupcion tras terremoto ecuador . URL;2
MENTION ver ? hechos relacion .;2
MENTION puede relacion , incluso volcan entro erupcion mexico .;2
MENTION sismicidad local volcan vio alterada ? factores influyen , terremoto placa menos;2
MENTION si existio subduccion placa nazca , bajo sudamericana si pudo ver alterado . presion magma .;2
MENTION villarrica hace tiempo alerta amarilla , ultimo reportado incandescencia lago lava;2
MENTION no erupcion . pagina sernageomin sale sistema monitoreo .;2
MENTION terremoto ecuador ocurrio zona brecha sismica actividad hace NUMBER anos NUMBERmw NUMBER / 01/1906;2
MENTION juzgar pobre hombre ?;1
MENTION justamente construyo san marino village , NUMBER quedaron pesimo;2
MENTION simplemente no pusieron cosas terremoto;2
MENTION broder terremoto cualquier cosa pudo pasar paren pensar;2
MENTION plena , segun ecuador no preparado cosas .;2
MENTION oye triplehijueputa !;1
MENTION ladra;1
MENTION perdio respeto;1
MENTION chupalo mmv , esperando llamda unico llego terremoto verga;1
MENTION llamando loco no contestaste niv , llame venao saber mmv !;1
MENTION confrmirmado;1
MENTION abuela no habia luz casa padres dijeron no sales verga SMILEY estan alla ?;1
MENTION chucha vamos haciendo alla ? vales v valer v - . -;1
MENTION tan hijueputa alla metido jajaja;1
MENTION google habilito busqueda personas URL espero sirva;2
MENTION si muchas gracias creado NUMBER cuentas daniela cimera ayuden;2
MENTION espero pronto puedan comunicar . si podemos ayudar mas cuentas .;2
MENTION si muchisimas gracias desesperados;4
MENTION siento estan pasando , fuerte abrazo .;4
dia terrible ! HASHTAG;4
MENTION santo domingo , ? SMILEY;3
MENTION igual sto dgo , sabes pense guayaquil;3
MENTION jajaja siempre alla . llamas ?;1
MENTION urg ayuda ! hermano NUMBER personas refugio estan muriendo asistencia ! llamo ? ! HASHTAG;2
MENTION comunicate MENTION favor diles;2
MENTION arg no puedo comunicarme . solo logre atienda representante embajada van NUMBER horas NUMBER medico;2
MENTION lloviendo momento alla , llame esperemos llegue ayuda . hermana alla , no noticias;2
MENTION . verdaderamente increible no sepa llamar NUMBER .;2
MENTION antena montana canoa . muchas gracias ! NUMBER personas esperando .;2
MENTION enviado mensaje vicepresidente .;2
viene terremoto;2
MENTION opino igual ...;2
MENTION ayer no paso , ? sera hoy ?;2
MENTION conforme pasan dias acumula mas energia;2
MENTION dejen pensar , cualquier momento va pasar , vivimos pais lleno d fallas . sigan estres;2
MENTION temo , preferiria vengan temblores pequenos libere energia;2
MENTION no funciona asi muchachos . ojala .;2
MENTION lleno fallas culpa gobierno ... asi no , verdad ?;2
MENTION declaro ignorante entonces . pensaba ayudaba liberar energia placas SMILEY llevo puta;1,2
MENTION va . energia liberan pequenos temblores no hacen diferencia . tal vez MENTION eSMILEYlica bien .;2
MENTION pues siempre sismos fuertes cinturon fuego . no ver;2
MENTION mas datos love ? algun horario ? gracias SMILEY;1
MENTION manana horas manana , preguntar ricky vizcaino , igualmente cualquier duda pueden escribir tambien;3
despues NUMBER horas sale glas decir q descubrio agua tibia , informando terremoto . cnn informo inmediato URL;2
MENTION glas salio decir mundo sabia . lugar hablar actuar , mandar ayuda rapida . inoperancia !;2
MENTION ffaa deben esperando regreso roma escoltarlo . calles tantos estan no hacen;1
"MENTION claro ffaa no haran , siguen francos , esperando q llegue "" comandante jefe """;1
"MENTION manta , portoviejo , bahia caraquez piden ayuda , roma dice "" preparados """;2
apaiSMILEYnada cuzco;1
MENTION chama cuzco apaiSMILEYna mim;1
MENTION nossa inara pegou pesado;1
MENTION vc gostou eu sei;1
MENTION kkk claro q n , eu tenho cara qm gosta desse tipo coisa ?;1
MENTION sim tem cara fica molhada na hora aqls;1
MENTION kkk oh inara q isso;1
mucha pena preocupacion pasando mucha gente causa . realmente no preparados cosas;2
MENTION manana va ser duro . mentalmente preparando HASHTAG victimas producto tragedia nacional;2
MENTION confieso llorado unas NUMBER veces , nunca pense podia pasar pais , pesadilla;4
MENTION terror creo todavia no termino asimilar gravedad . no quiero imaginarme sera manana;4
MENTION mama , hermana sobrinos manta , salieron apenas sucedio terremoto cuenta edificios derrumbaban;2
MENTION dios mio horrible . alegra familia bien;4
MENTION si , via ipiales , pasamos junto derrumbe segundos despues terremoto , quito salvo . ?;3
MENTION costa same;3
MENTION fuertisimo;3
MENTION fuerza eric ! haces enorme trabajo .;3,4
MENTION si primita milagro tranquilo , estan ?;3
MENTION bien , iban carro no sintieron suerte , horrible lejos;3
MENTION miercoles;3
MENTION tranquila , ecuador arrecho !;1,3
nunca imagine ver tantos destrozos pais , increible magnitud terremoto .;2,4
MENTION si fuerte , no imagino alla .;3
MENTION terrible , destrozos varios lugares guayaquil   peor sido costa norte pais .;2,4
MENTION triste , queda esperar ...;4
MENTION q politizar ? .. debo quedarme calladito ? . d excepcion mental ? nah;2
MENTION no manifiestas volar tener conocimiento . aeropuerto manta cerrado . helicopteros deben;2
MENTION no idea d hacen paises chile uso d helicopteros;2
MENTION no idea hermano igual oro . saludos bendiciones dice soldado;2,4
MENTION propaganda hacer cadenas canales si rapidos . ?;1
MENTION revisaras respuestas tragedias chile;3
MENTION respeto criterio camarada no comparto . queda ayudar mejor forma posible sumando;2
MENTION i can't sleep . casa toda familia .;1,3
MENTION i can't sleep SMILEY;1
MENTION stay safe .;1
MENTION muchas gracias . loco aqui . muero miedo;3
MENTION nat my love , everything's gonna be ok;1
MENTION gracias dios;4
MENTION miedo sigue , feo;4
MENTION mari bb , tbh i hope everything gets better ! SMILEY;4
MENTION whatsapp . no voy dormir hoy ..;3
MENTION ahora voy , tampoco dormire SMILEY;3
MENTION fuertez . debe ser feo . oraciones .;4
MENTION . si necesitas hablar siempre aqui;3
MENTION encuentras bien ? terremoto alla !;3
MENTION si gracias preocupacion aqui si sintio fuerte bien costa terrible;2,3
MENTION cuidate ! bien ! estes bien !;3
MENTION gracias amiga super triste verdad no pense grave ahora estan noticias ora favor pais;3,4
MENTION si aqui panama salieron noticias fuerte NUMBER grados t . t;2
MENTION fiestasde independencia viendo desfile temblo fuerte comparado esmeraldas manabi;2
MENTION gracias informarme ! queria saber situacion;2
extrana luz cielo segundos terremoto HASHTAG URL;2
MENTION comparto enlaces medios : URL saludos !;2
HASHTAG NUMBER MENTION NUMBER MENTION eSMILEYlico razon destellos luminicos URL;2
MENTION duda , interesante . ! saludos antoni !;2
divulgarlo evitar agitar fantasmas inexistentes MENTION gracias follow;2,3
MENTION correcto ! interesante medios estan compartiendo video .;2
temo video no corresponda , pregunte MENTION , si verificado MENTION;2
MENTION dios suena mas falso biblia , serio , creerlo sale bbc;1
eSMILEYlico NUMBER ing . troy shinbrot d rutgers university . si prefiere piense aliens armas secretas MENTION;2
extrana luz cielo segundos terremoto HASHTAG ( vine by MENTION ) URL;2
MENTION pues asi ve meteorito , mera verdad idea , raro ...;3
MENTION ... si , parece meteorito mucha casualidad . si meteorito debio haber quedado registrado . raro !;3
MENTION si mera verdad pienso mismo ...;3
MENTION procuremos esperar comunicados oficiales . slds !;3
MENTION encontre , URL ...;2
MENTION hola ! vine falso chequen video ... URL pena da haberlo revineado;2,3
* vamoooh ! partidita doom comenzar manana URL;1
MENTION aiii olvidamos agradecimientos;1
MENTION si culpa casi pillo , no paras hablar no dejas jugar tranquilo SMILEY;1
MENTION si dando consejos infalibes;1
MENTION sera jugado doom SMILEY;1
MENTION URL;1
MENTION nunca puedo ir firmas ven algun dia cadiz porfiii;1
MENTION staxx mas nobb maikra aun asi kiere like pasa vegueta mejor youtuber;1
MENTION crrrack doom;1
MENTION jajajajajaj pobre frank solo queria ayudar;1
MENTION sos cccrraxkkks SMILEY;1
MENTION;1
oye calurosa noche sere senor ?;3
MENTION tbn calor ja;3
MENTION no unica , bien;3
MENTION despierta haces ? ja;3
MENTION siii no deja dormir . no puedo dormir destapada u . u ?;3
MENTION no , escuchando electronica sopeado jaja;1,3
MENTION llico !;1
no si preocuparme no senti temblor ahorita .;4
MENTION asustate;4
MENTION ? 6.1 ? oe no pues jajaja . despierto no siento , si llego dormir , jodo : v jajaja .;1
MENTION no puedo dormir & peor ultimo fuerte .;3,4
MENTION preocupe terremoto senti temblor largo ahora temblor siquiera siento . - .;3,4
MENTION solo espero ruego deba zona vivo no afecta tipo cosas .;4
redes sociales media decir necesidades parece si unimos oracion ? HASHTAG;4
MENTION HASHTAG claro deben servir ahora redes sociales orar ecuador !;4
MENTION asi , orar , hace minutos temblor menos fuerte .;4
MENTION estan bien general ? lograron salir viviendas ? no importa perder material si vida .. orando !;4
MENTION estabamos calles , energia electrica , caos , colmo noche .;2
MENTION siento verdad q pues tmb terremoto horrible NUMBER !;4
nunca siento , solo dicen corre .;4
MENTION maneraaa;1
MENTION solo senti casa caia abajo;2
MENTION terremoto si sentiste ? nooo;3
MENTION senti casa movia postes pies temblaban nunca siento;3
MENTION leeey si horribleee tragediaaas;4
kimi raikkonen senores . aplaudan maestro;1
MENTION naah , aplaudamos massa .;1
MENTION sobrepasos no aplaudir;1
MENTION olvido decirte , fuerza compatriotas envueltos tornado , vi imagenes parecian terremoto aca , esten bien;4
MENTION leicester ( espero );3
MENTION creeo gana west ham ,;3
MENTION no;3
MENTION si , west ham juega bien NUMBERto quiere puesto europeo ( champion );3
", MENTION "" menos "" . URL";2
MENTION parece mal gusto . si quisiera mas .;3
MENTION ? mal gusto ? entiedo podido confirmar ahora aun no datos consolidados .;3
MENTION , supuesto , formalmente quiere decir . ' menos ' encuentro segundo no deseado .;3
MENTION parece hilar fino . si no dicen menos pareceria dato definitivo calculo cercano total;3
